2theta,simulated,2theta,real copy,2theta,real
5.0,0.0,2.0109,2.0,2.0109,356.0
5.02,0.0,2.0329,307.381,2.0329,307.381
5.04,0.0,2.0549,336.943,2.0549,336.943
5.06,0.0,2.0769,294.2994,2.0769,294.2994
5.08,0.0,2.0989,275.2134,2.0989,275.2134
5.1,0.0,2.1209,260.9218,2.1209,260.9218
5.12,0.0,2.1429,275.0,2.1429,275.0
5.14,0.0,2.1649,270.44,2.1649,270.44
5.16,0.0,2.1869,226.3265,2.1869,226.3265
5.18,0.0,2.2089,266.7743,2.2089,266.7743
5.2,0.0,2.2309,265.3795,2.2309,265.3795
5.22,0.0,2.2529,211.5408,2.2529,211.5408
5.24,0.0,2.2749,216.0324,2.2749,216.0324
5.26,0.0,2.2969,223.2783,2.2969,223.2783
5.28,0.0,2.3189,231.0324,2.3189,231.0324
5.3,0.0,2.3409,241.8997,2.3409,241.8997
5.32,0.0,2.3629,259.7404,2.3629,259.7404
5.34,0.0,2.3849,221.1942,2.3849,221.1942
5.36,0.0,2.4069,206.5398,2.4069,206.5398
5.38,0.0,2.4289,219.7006,2.4289,219.7006
5.4,0.0,2.4509,222.7375,2.4509,222.7375
5.42,0.0,2.4729,219.3215,2.4729,219.3215
5.44,0.0,2.4949,199.4848,2.4949,199.4848
5.46,0.0,2.5169,192.8269,2.5169,192.8269
5.48,0.0,2.5389,195.8702,2.5389,195.8702
5.5,0.0,2.5609,190.9164,2.5609,190.9164
5.52,0.0,2.5829,203.5978,2.5829,203.5978
5.54,0.0,2.6049,208.3274,2.6049,208.3274
5.56,0.0,2.6269,210.6559,2.6269,210.6559
5.58,0.0,2.6489,207.8614,2.6489,207.8614
5.6,0.0,2.6709,208.4248,2.6709,208.4248
5.62,0.0,2.6929,220.5723,2.6929,220.5723
5.64,0.0,2.7149,221.707,2.7149,221.707
5.66,0.0,2.7369,203.8879,2.7369,203.8879
5.68,0.0,2.7589,191.5821,2.7589,191.5821
5.7,0.0,2.7809,193.5811,2.7809,193.5811
5.72,0.0,2.8029,201.8673,2.8029,201.8673
5.74,0.0,2.8249,214.3668,2.8249,214.3668
5.76,0.0,2.8469,223.4012,2.8469,223.4012
5.78,0.0,2.8689,219.7271,2.8689,219.7271
5.8,0.0,2.8909,212.5251,2.8909,212.5251
5.82,0.0,2.9129,222.5905,2.9129,222.5905
5.84,0.0,2.9349,229.354,2.9349,229.354
5.86,0.0,2.9569,228.1711,2.9569,228.1711
5.88,0.0,2.9789,220.1839,2.9789,220.1839
5.9,0.0,3.0009,219.2965,3.0009,219.2965
5.92,0.0,3.0229,233.9154,3.0229,233.9154
5.94,0.0,3.0449,219.2035,3.0449,219.2035
5.96,0.0,3.0669,228.1888,3.0669,228.1888
5.98,0.0,3.0889,246.2045,3.0889,246.2045
6.0,0.0,3.1109,242.0836,3.1109,242.0836
6.02,0.0,3.1329,227.7168,3.1329,227.7168
6.04,0.0,3.1549,231.8653,3.1549,231.8653
6.06,0.0,3.1769,252.3314,3.1769,252.3314
6.08,0.0,3.1989,261.3274,3.1989,261.3274
6.1,0.0,3.2209,246.4518,3.2209,246.4518
6.12,0.0,3.2429,280.2979,3.2429,280.2979
6.14,0.0,3.2649,292.6947,3.2649,292.6947
6.16,0.0,3.2869,272.178,3.2869,272.178
6.18,0.0,3.3089,293.2817,3.3089,293.2817
