№	Полож. [°2θ]	Iнабл [имп]	Iрассчетн [имп]	Iзадн [имп]	ПСО	Межплоскостное расстояние D	ВП [с]
1	2.0109  2.0000			18.8680	43.8986	97.9200
2	2.0329	307.3810			17.5323	43.4236	97.9200
3	2.0549	336.9430			18.3560	42.9588	97.9200
4	2.0769	294.2994			17.1552	42.5037	97.9200
5	2.0989	275.2134			16.5896	42.0583	97.9200
6	2.1209	260.9218			16.1531	41.6220	97.9200
7	2.1429	275.0000			16.5831	41.1948	97.9200
8	2.1649	270.4400			16.4451	40.7762	97.9200
9	2.1869	226.3265			15.0442	40.3660	97.9200
10	2.2089	266.7743			16.3332	39.9640	97.9200
11	2.2309	265.3795			16.2905	39.5700	97.9200
12	2.2529	211.5408			14.5444	39.1836	97.9200
13	2.2749	216.0324			14.6980	38.8047	97.9200
14	2.2969	223.2783			14.9425	38.4331	97.9200
15	2.3189	231.0324			15.1998	38.0685	97.9200
16	2.3409	241.8997			15.5531	37.7108	97.9200
17	2.3629	259.7404			16.1165	37.3597	97.9200
18	2.3849	221.1942			14.8726	37.0151	97.9200
19	2.4069	206.5398			14.3715	36.6768	97.9200
20	2.4289	219.7006			14.8223	36.3447	97.9200
21	2.4509	222.7375			14.9244	36.0185	97.9200
22	2.4729	219.3215			14.8095	35.6981	97.9200
23	2.4949	199.4848			14.1239	35.3834	97.9200
24	2.5169	192.8269			13.8862	35.0741	97.9200
25	2.5389	195.8702			13.9954	34.7702	97.9200
26	2.5609	190.9164			13.8173	34.4716	97.9200
27	2.5829	203.5978			14.2688	34.1780	97.9200
28	2.6049	208.3274			14.4336	33.8894	97.9200
29	2.6269	210.6559			14.5140	33.6056	97.9200
30	2.6489	207.8614			14.4174	33.3266	97.9200
31	2.6709	208.4248			14.4369	33.0521	97.9200
32	2.6929	220.5723			14.8517	32.7821	97.9200
33	2.7149	221.7070			14.8898	32.5165	97.9200
34	2.7369	203.8879			14.2789	32.2552	97.9200
35	2.7589	191.5821			13.8413	31.9980	97.9200
36	2.7809	193.5811			13.9133	31.7449	97.9200
37	2.8029	201.8673			14.2080	31.4958	97.9200
